#date     expnum ccd id ccdnum
# Backplane 4
20131124  257828 nan nan  28
20131124  257828 nan nan  29
20131124  257828 nan nan  30
20131124  257828 nan nan  31
20131124  257828 nan nan  35
20131124  257828 nan nan  36
20131124  257828 nan nan  37
20131124  257828 nan nan  38
20131124  257846 nan nan  28
20131124  257846 nan nan  29
20131124  257846 nan nan  30
20131124  257846 nan nan  31
20131124  257846 nan nan  35
20131124  257846 nan nan  36
20131124  257846 nan nan  37
20131124  257846 nan nan  38
20131124  257848 nan nan  28
20131124  257848 nan nan  29
20131124  257848 nan nan  30
20131124  257848 nan nan  31
20131124  257848 nan nan  35
20131124  257848 nan nan  36
20131124  257848 nan nan  37
20131124  257848 nan nan  38
# 
20131127  258252 nan nan  28
20131127  258252 nan nan  29
20131127  258252 nan nan  30
20131127  258252 nan nan  31
20131127  258252 nan nan  35
20131127  258252 nan nan  36
20131127  258252 nan nan  37
20131127  258252 nan nan  38
# 
20131127  258263 nan nan  28
20131127  258263 nan nan  29
20131127  258263 nan nan  30
20131127  258263 nan nan  31
20131127  258263 nan nan  35
20131127  258263 nan nan  36
20131127  258263 nan nan  37
20131127  258263 nan nan  38
# Corrupted Flat
20140719 339224  nan nan  32
20141023 370932  nan nan  29
# readout
20130717 220005  nan nan   7
20130717 220005  nan nan  12
20130717 220005  nan nan  24
20130717 220006  nan nan   7
20130717 220006  nan nan  12
20130717 220006  nan nan  24
### DES Y1 ###
20131113  253899  76 S25   4
20131113  253899  71 S20   8
20131113  253899  66 S14  13
20131113  253899  65 S15  14
20131113  253899  60  S8  19
20131113  253899  59  S9  20
20131113  253899  54  S1  25
20131113  253899  53  S2  26
20131113  253899  52  S3  27
20131113  253899  17  N1  32
20131113  253899  16  N2  33
20131113  253899  15  N3  34
20131113  253899  23  N8  39
20131113  253899  22  N9  40
20131113  253899  29 N14  45
20131113  253899  28 N15  46
20131113  253899  34 N20  51
20131113  253899  39 N25  56
20131113  253900  76 S25   4
20131113  253900  71 S20   8
20131113  253900  66 S14  13
20131113  253900  65 S15  14
20131113  253900  60  S8  19
20131113  253900  59  S9  20
20131113  253900  54  S1  25
20131113  253900  53  S2  26
20131113  253900  52  S3  27
20131113  253900  17  N1  32
20131113  253900  16  N2  33
20131113  253900  15  N3  34
20131113  253900  23  N8  39
20131113  253900  22  N9  40
20131113  253900  29 N14  45
20131113  253900  28 N15  46
20131113  253900  34 N20  51
20131113  253900  39 N25  56
20131113  253901  76 S25   4
20131113  253901  71 S20   8
20131113  253901  66 S14  13
20131113  253901  65 S15  14
20131113  253901  60  S8  19
20131113  253901  59  S9  20
20131113  253901  54  S1  25
20131113  253901  53  S2  26
20131113  253901  52  S3  27
20131113  253901  17  N1  32
20131113  253901  16  N2  33
20131113  253901  15  N3  34
20131113  253901  23  N8  39
20131113  253901  22  N9  40
20131113  253901  29 N14  45
20131113  253901  28 N15  46
20131113  253901  34 N20  51
20131113  253901  39 N25  56
20131113  253902  76 S25   4
20131113  253902  71 S20   8
20131113  253902  66 S14  13
20131113  253902  65 S15  14
20131113  253902  60  S8  19
20131113  253902  59  S9  20
20131113  253902  54  S1  25
20131113  253902  53  S2  26
20131113  253902  52  S3  27
20131113  253902  17  N1  32
20131113  253902  16  N2  33
20131113  253902  15  N3  34
20131113  253902  23  N8  39
20131113  253902  22  N9  40
20131113  253902  29 N14  45
20131113  253902  28 N15  46
20131113  253902  34 N20  51
20131113  253902  39 N25  56
20131113  253903  76 S25   4
20131113  253903  71 S20   8
20131113  253903  66 S14  13
20131113  253903  65 S15  14
20131113  253903  60  S8  19
20131113  253903  59  S9  20
20131113  253903  54  S1  25
20131113  253903  53  S2  26
20131113  253903  52  S3  27
20131113  253903  17  N1  32
20131113  253903  16  N2  33
20131113  253903  15  N3  34
20131113  253903  23  N8  39
20131113  253903  22  N9  40
20131113  253903  29 N14  45
20131113  253903  28 N15  46
20131113  253903  34 N20  51
20131113  253903  39 N25  56
20131113  253904  76 S25   4
20131113  253904  71 S20   8
20131113  253904  66 S14  13
20131113  253904  65 S15  14
20131113  253904  60  S8  19
20131113  253904  59  S9  20
20131113  253904  54  S1  25
20131113  253904  53  S2  26
20131113  253904  52  S3  27
20131113  253904  17  N1  32
20131113  253904  16  N2  33
20131113  253904  15  N3  34
20131113  253904  23  N8  39
20131113  253904  22  N9  40
20131113  253904  29 N14  45
20131113  253904  28 N15  46
20131113  253904  34 N20  51
20131113  253904  39 N25  56
20131113  253905  76 S25   4
20131113  253905  71 S20   8
20131113  253905  66 S14  13
20131113  253905  65 S15  14
20131113  253905  60  S8  19
20131113  253905  59  S9  20
20131113  253905  54  S1  25
20131113  253905  53  S2  26
20131113  253905  52  S3  27
20131113  253905  17  N1  32
20131113  253905  16  N2  33
20131113  253905  15  N3  34
20131113  253905  23  N8  39
20131113  253905  22  N9  40
20131113  253905  29 N14  45
20131113  253905  28 N15  46
20131113  253905  34 N20  51
20131113  253905  39 N25  56
20131113  253906  76 S25   4
20131113  253906  71 S20   8
20131113  253906  66 S14  13
20131113  253906  65 S15  14
20131113  253906  60  S8  19
20131113  253906  59  S9  20
20131113  253906  54  S1  25
20131113  253906  53  S2  26
20131113  253906  52  S3  27
20131113  253906  17  N1  32
20131113  253906  16  N2  33
20131113  253906  15  N3  34
20131113  253906  23  N8  39
20131113  253906  22  N9  40
20131113  253906  29 N14  45
20131113  253906  28 N15  46
20131113  253906  34 N20  51
20131113  253906  39 N25  56
20131113  253907  76 S25   4
20131113  253907  71 S20   8
20131113  253907  66 S14  13
20131113  253907  65 S15  14
20131113  253907  60  S8  19
20131113  253907  59  S9  20
20131113  253907  54  S1  25
20131113  253907  53  S2  26
20131113  253907  52  S3  27
20131113  253907  17  N1  32
20131113  253907  16  N2  33
20131113  253907  15  N3  34
20131113  253907  23  N8  39
20131113  253907  22  N9  40
20131113  253907  29 N14  45
20131113  253907  28 N15  46
20131113  253907  34 N20  51
20131113  253907  39 N25  56
20131113  253908  76 S25   4
20131113  253908  71 S20   8
20131113  253908  66 S14  13
20131113  253908  65 S15  14
20131113  253908  60  S8  19
20131113  253908  59  S9  20
20131113  253908  54  S1  25
20131113  253908  53  S2  26
20131113  253908  52  S3  27
20131113  253908  17  N1  32
20131113  253908  16  N2  33
20131113  253908  15  N3  34
20131113  253908  23  N8  39
20131113  253908  22  N9  40
20131113  253908  29 N14  45
20131113  253908  28 N15  46
20131113  253908  34 N20  51
20131113  253908  39 N25  56
20131113  253909  76 S25   4
20131113  253909  71 S20   8
20131113  253909  66 S14  13
20131113  253909  65 S15  14
20131113  253909  60  S8  19
20131113  253909  59  S9  20
20131113  253909  54  S1  25
20131113  253909  53  S2  26
20131113  253909  52  S3  27
20131113  253909  17  N1  32
20131113  253909  16  N2  33
20131113  253909  15  N3  34
20131113  253909  23  N8  39
20131113  253909  22  N9  40
20131113  253909  29 N14  45
20131113  253909  28 N15  46
20131113  253909  34 N20  51
20131113  253909  39 N25  56
20131113  253910  76 S25   4
20131113  253910  71 S20   8
20131113  253910  66 S14  13
20131113  253910  65 S15  14
20131113  253910  60  S8  19
20131113  253910  59  S9  20
20131113  253910  54  S1  25
20131113  253910  53  S2  26
20131113  253910  52  S3  27
20131113  253910  17  N1  32
20131113  253910  16  N2  33
20131113  253910  15  N3  34
20131113  253910  23  N8  39
20131113  253910  22  N9  40
20131113  253910  29 N14  45
20131113  253910  28 N15  46
20131113  253910  34 N20  51
20131113  253910  39 N25  56
20131113  253911  76 S25   4
20131113  253911  71 S20   8
20131113  253911  66 S14  13
20131113  253911  65 S15  14
20131113  253911  60  S8  19
20131113  253911  59  S9  20
20131113  253911  54  S1  25
20131113  253911  53  S2  26
20131113  253911  52  S3  27
20131113  253911  17  N1  32
20131113  253911  16  N2  33
20131113  253911  15  N3  34
20131113  253911  23  N8  39
20131113  253911  22  N9  40
20131113  253911  29 N14  45
20131113  253911  28 N15  46
20131113  253911  34 N20  51
20131113  253911  39 N25  56
20131113  253912  76 S25   4
20131113  253912  71 S20   8
20131113  253912  66 S14  13
20131113  253912  65 S15  14
20131113  253912  60  S8  19
20131113  253912  59  S9  20
20131113  253912  54  S1  25
20131113  253912  53  S2  26
20131113  253912  52  S3  27
20131113  253912  17  N1  32
20131113  253912  16  N2  33
20131113  253912  15  N3  34
20131113  253912  23  N8  39
20131113  253912  22  N9  40
20131113  253912  29 N14  45
20131113  253912  28 N15  46
20131113  253912  34 N20  51
20131113  253912  39 N25  56
20131113  253913  76 S25   4
20131113  253913  71 S20   8
20131113  253913  66 S14  13
20131113  253913  65 S15  14
20131113  253913  60  S8  19
20131113  253913  59  S9  20
20131113  253913  54  S1  25
20131113  253913  53  S2  26
20131113  253913  52  S3  27
20131113  253913  17  N1  32
20131113  253913  16  N2  33
20131113  253913  15  N3  34
20131113  253913  23  N8  39
20131113  253913  22  N9  40
20131113  253913  29 N14  45
20131113  253913  28 N15  46
20131113  253913  34 N20  51
20131113  253913  39 N25  56
20131113  253914  76 S25   4
20131113  253914  71 S20   8
20131113  253914  66 S14  13
20131113  253914  65 S15  14
20131113  253914  60  S8  19
20131113  253914  59  S9  20
20131113  253914  54  S1  25
20131113  253914  53  S2  26
20131113  253914  52  S3  27
20131113  253914  17  N1  32
20131113  253914  16  N2  33
20131113  253914  15  N3  34
20131113  253914  23  N8  39
20131113  253914  22  N9  40
20131113  253914  29 N14  45
20131113  253914  28 N15  46
20131113  253914  34 N20  51
20131113  253914  39 N25  56
20131113  253925  76 S25   4
20131113  253925  71 S20   8
20131113  253925  66 S14  13
20131113  253925  65 S15  14
20131113  253925  60  S8  19
20131113  253925  59  S9  20
20131113  253925  54  S1  25
20131113  253925  53  S2  26
20131113  253925  52  S3  27
20131113  253925  17  N1  32
20131113  253925  16  N2  33
20131113  253925  15  N3  34
20131113  253925  23  N8  39
20131113  253925  22  N9  40
20131113  253925  29 N14  45
20131113  253925  28 N15  46
20131113  253925  34 N20  51
20131113  253925  39 N25  56
20131113  253926  76 S25   4
20131113  253926  71 S20   8
20131113  253926  66 S14  13
20131113  253926  65 S15  14
20131113  253926  60  S8  19
20131113  253926  59  S9  20
20131113  253926  54  S1  25
20131113  253926  53  S2  26
20131113  253926  52  S3  27
20131113  253926  17  N1  32
20131113  253926  16  N2  33
20131113  253926  15  N3  34
20131113  253926  23  N8  39
20131113  253926  22  N9  40
20131113  253926  29 N14  45
20131113  253926  28 N15  46
20131113  253926  34 N20  51
20131113  253926  39 N25  56
20131113  253927  76 S25   4
20131113  253927  71 S20   8
20131113  253927  66 S14  13
20131113  253927  65 S15  14
20131113  253927  60  S8  19
20131113  253927  59  S9  20
20131113  253927  54  S1  25
20131113  253927  53  S2  26
20131113  253927  52  S3  27
20131113  253927  17  N1  32
20131113  253927  16  N2  33
20131113  253927  15  N3  34
20131113  253927  23  N8  39
20131113  253927  22  N9  40
20131113  253927  29 N14  45
20131113  253927  28 N15  46
20131113  253927  34 N20  51
20131113  253927  39 N25  56
20131113  253930  76 S25   4
20131113  253930  71 S20   8
20131113  253930  66 S14  13
20131113  253930  65 S15  14
20131113  253930  60  S8  19
20131113  253930  59  S9  20
20131113  253930  54  S1  25
20131113  253930  53  S2  26
20131113  253930  52  S3  27
20131113  253930  17  N1  32
20131113  253930  16  N2  33
20131113  253930  15  N3  34
20131113  253930  23  N8  39
20131113  253930  22  N9  40
20131113  253930  29 N14  45
20131113  253930  28 N15  46
20131113  253930  34 N20  51
20131113  253930  39 N25  56
20131113  253931  76 S25   4
20131113  253931  71 S20   8
20131113  253931  66 S14  13
20131113  253931  65 S15  14
20131113  253931  60  S8  19
20131113  253931  59  S9  20
20131113  253931  54  S1  25
20131113  253931  53  S2  26
20131113  253931  52  S3  27
20131113  253931  17  N1  32
20131113  253931  16  N2  33
20131113  253931  15  N3  34
20131113  253931  23  N8  39
20131113  253931  22  N9  40
20131113  253931  29 N14  45
20131113  253931  28 N15  46
20131113  253931  34 N20  51
20131113  253931  39 N25  56
20131113  253932  76 S25   4
20131113  253932  71 S20   8
20131113  253932  66 S14  13
20131113  253932  65 S15  14
20131113  253932  60  S8  19
20131113  253932  59  S9  20
20131113  253932  54  S1  25
20131113  253932  53  S2  26
20131113  253932  52  S3  27
20131113  253932  17  N1  32
20131113  253932  16  N2  33
20131113  253932  15  N3  34
20131113  253932  23  N8  39
20131113  253932  22  N9  40
20131113  253932  29 N14  45
20131113  253932  28 N15  46
20131113  253932  34 N20  51
20131113  253932  39 N25  56
20131113  253933  76 S25   4
20131113  253933  71 S20   8
20131113  253933  66 S14  13
20131113  253933  65 S15  14
20131113  253933  60  S8  19
20131113  253933  59  S9  20
20131113  253933  54  S1  25
20131113  253933  53  S2  26
20131113  253933  52  S3  27
20131113  253933  17  N1  32
20131113  253933  16  N2  33
20131113  253933  15  N3  34
20131113  253933  23  N8  39
20131113  253933  22  N9  40
20131113  253933  29 N14  45
20131113  253933  28 N15  46
20131113  253933  34 N20  51
20131113  253933  39 N25  56
20131113  253934  76 S25   4
20131113  253934  71 S20   8
20131113  253934  66 S14  13
20131113  253934  65 S15  14
20131113  253934  60  S8  19
20131113  253934  59  S9  20
20131113  253934  54  S1  25
20131113  253934  53  S2  26
20131113  253934  52  S3  27
20131113  253934  17  N1  32
20131113  253934  16  N2  33
20131113  253934  15  N3  34
20131113  253934  23  N8  39
20131113  253934  22  N9  40
20131113  253934  29 N14  45
20131113  253934  28 N15  46
20131113  253934  34 N20  51
20131113  253934  39 N25  56
20131113  253935  76 S25   4
20131113  253935  71 S20   8
20131113  253935  66 S14  13
20131113  253935  65 S15  14
20131113  253935  60  S8  19
20131113  253935  59  S9  20
20131113  253935  54  S1  25
