#date     expnum ccd id ccdnum
#Airplane
20131102  250171 nan nan   3
20131102  250171 nan nan   6
20131102  250171 nan nan   7
20131102  250171 nan nan  11
20131102  250171 nan nan  17
20131102  250171 nan nan  23
20131102  250171 nan nan  29
20131102  250171 nan nan  36
20131102  250171 nan nan  37
20131102  250171 nan nan  43
20131102  250171 nan nan  49
20131102  250171 nan nan  55
20131102  250171 nan nan  59
20130429  202619 nan nan  13
20130429  202619 nan nan  19
20130429  202619 nan nan  25
20130429  202619 nan nan  32
20130510  205383 nan nan   7
20130510  205383 nan nan  12
20130510  205383 nan nan  18
20130510  205383 nan nan  24
20130510  205383 nan nan  30
20130510  205383 nan nan  37
20130510  205383 nan nan  44
20130510  205383 nan nan  50
# meteor
20130412  196334 nan nan  33
20130412  196334 nan nan  34
# Airplane
20140507  311946 nan nan    8
20140507  311946 nan nan   13
20140507  311946 nan nan   19
20140507  311946 nan nan   25
20140507  311946 nan nan   32
20140507  311946 nan nan   39
20140507  311946 nan nan   45
# Airplane
20140719  339208 nan nan    3
20140719  339208 nan nan    6 
20140719  339208 nan nan    7
20140719  339208 nan nan   11
20140719  339208 nan nan   16
20140719  339208 nan nan   17
20140719  339208 nan nan   22
20140719  339208 nan nan   28
20140719  339208 nan nan   29
20140719  339208 nan nan   35
20140719  339208 nan nan   36
20140719  339208 nan nan   42
20140719  339208 nan nan   48
20140719  339208 nan nan   53
20140719  339208 nan nan   54
20140719  339208 nan nan   57
20140719  339208 nan nan   58
### DES Y1 ###
20130905  231118  36 N28  59
20130905  231118  31 N23  54
20130905  231118  25 N18  49
20130905  231118  19 N12  43
20130905  231118  20 N11  42
20130905  231118  13  N5  36
20130905  231118  50  S5  29
20130905  231118  57 S11  22
20130905  231118  63 S17  16
20130905  231118  69 S22  10
20130905  231118  74 S27   6
20130905  231118  80 S30   2
20130910  232679  11  N7  38
20130914  234124  42 N31  62
20130914  234124  37 N27  58
20130914  234124  31 N23  54
20130914  234124  26 N17  48
20130914  234124  20 N11  42
20130914  234124  14  N4  35
20130914  234124  51  S4  28
20130914  234124  58 S10  21
20130914  234124  64 S16  15
20130914  234124  70 S21   9
20130914  234124  76 S25   4
20130914  234124  75 S26   5
20130914  234124  81 S29   1
20131002  240734  39 N25  56
20131002  240734  29 N14  45
20131002  240734  23  N8  39
20131002  240734  17  N1  32
20131002  240734  54  S1  25
20131002  240734  60  S8  19
20131002  240734  66 S14  13
20131009  242467  24 N19  50
20131009  242467  18 N13  44
20131009  242467  12  N6  37
20131009  242467  49  S6  30
20131009  242467  56 S12  23
20131009  242467  55 S13  24
20131009  242467  62 S18  17
20131009  242467  68 S23  11
20131009  242467  67 S24  12
20131009  242467  73 S28   7
20131009  242467  79 S31   3
20131025  246853  39 N25  56
20131025  246853  34 N20  51
20131025  246853  28 N15  46
20131025  246853  29 N14  45
20131025  246853  23  N8  39
20131025  246853  16  N2  33
20131025  246853  53  S2  26
20131025  246853  54  S1  25
20131025  246853  60  S8  19
20131025  246853  66 S14  13
20131105  251109  43 N30  61
20131105  251109  37 N27  58
20131105  251109  32 N22  53
20131105  251109  27 N16  47
20131105  251109  21 N10  41
20131105  251109  15  N3  34
20131105  251109  14  N4  35
20131105  251109  52  S3  27
20131105  251109  59  S9  20
20131105  251109  58 S10  21
20131105  251109  64 S16  15
20131105  251109  70 S21   9
20131105  251109  76 S25   4
20131105  251109  81 S29   1
20131107  251698  24 N19  50
20131107  251698  18 N13  44
20131107  251698  12  N6  37
20131107  251698  11  N7  38
20131107  251698  49  S6  30
20131107  251698  48  S7  31
20131107  251698  55 S13  24
20131107  251698  61 S19  18
20131107  251698  67 S24  12
20131107  251702  43 N30  61
20131107  251702  38 N26  57
20131107  251702  37 N27  58
20131107  251702  32 N22  53
20131107  251702  27 N16  47
20131107  251702  21 N10  41
20131107  251702  14  N4  35
20131107  251702  51  S4  28
20131107  251702  52  S3  27
20131107  251702  58 S10  21
20131107  251702  57 S11  22
20131107  251702  64 S16  15
20131107  251702  69 S22  10
20131107  251702  75 S26   5
20131107  251702  81 S29   1
20131107  251702  80 S30   2
20131107  251741  30 N24  55
20131107  251741  24 N19  50
20131107  251741  18 N13  44
20131107  251741  12  N6  37
20131107  251741  11  N7  38
20131107  251741  49  S6  30
20131107  251741  48  S7  31
20131107  251741  55 S13  24
20131107  251741  61 S19  18
20131107  251741  67 S24  12
20131108  252109  44 N29  60
20131108  252109  38 N26  57
