#date     expnum ccd id ccdnum
20151011  483951 nan nan   25
20151011  483951 nan nan   32
20151011  483951 nan nan   39
20151011  483951 nan nan   45
20151011  483951 nan nan   51
20151011  483951 nan nan   56
20151011  483951 nan nan   60
20160115  511953 nan nan   13
20160115  511953 nan nan   19
20160218  518844 nan nan   5
20160218  518844 nan nan   10
20160218  518844 nan nan   15
20160218  518844 nan nan   22
20160218  518844 nan nan   28
20160218  518844 nan nan   35
20160218  518844 nan nan   42
20160218  518844 nan nan   48
20160218  518844 nan nan   54
20160218  518844 nan nan   58
20160218  518844 nan nan   62
### DES Y3 ###
20151221  505034 nan nan 1
20151221  505034 nan nan 2
20151221  505034 nan nan 4
20151221  505034 nan nan 5
20151221  505034 nan nan 6
20151221  505034 nan nan 9
20151221  505034 nan nan 10
20151221  505034 nan nan 11
20151221  505034 nan nan 15
20151221  505034 nan nan 16
20151221  505034 nan nan 17
20151221  505034 nan nan 21
20151221  505034 nan nan 22
20151221  505034 nan nan 23
20151221  505034 nan nan 27
20151221  505034 nan nan 28
20151221  505034 nan nan 29
20151221  505034 nan nan 30
20151221  505034 nan nan 35
20151221  505034 nan nan 36
20151221  505034 nan nan 37
20151221  505034 nan nan 41
20151221  505034 nan nan 42
20151221  505034 nan nan 43
20151221  505034 nan nan 44
20151221  505034 nan nan 48
20151221  505034 nan nan 49
20151221  505034 nan nan 50
20151221  505034 nan nan 53
20151221  505034 nan nan 54
20151221  505034 nan nan 55
20151221  505034 nan nan 58
20151221  505034 nan nan 59
20151221  505034 nan nan 62
# Meteor (D00492883_i_r2024p01_TN.png)
20151113  492883 nan nan 5
20151113  492883 nan nan 9
20151113  492883 nan nan 10
20151113  492883 nan nan 15
20151113  492883 nan nan 21
20151113  492883 nan nan 27
20151113  492883 nan nan 34
20151113  492883 nan nan 40
20151113  492883 nan nan 46
20151113  492883 nan nan 51
