#date     expnum ccd id ccdnum
# Weird shadow
20170103  606371 nan nan   54
20170103  606371 nan nan   59
20170103  606372 nan nan   54
20170103  606372 nan nan   59
20170103  606373 nan nan   54
20170103  606373 nan nan   59
20170103  606376 nan nan   55
20170103  606376 nan nan   55
20170103  606383 nan nan   59
# Airplanes
20170110  608579 nan nan   1
20170110  608579 nan nan   5
20170110  608579 nan nan   9
20170110  608579 nan nan   10
20170110  608579 nan nan   15
20170110  608579 nan nan   21
20170110  608579 nan nan   28
20170110  608579 nan nan   35
20170110  608579 nan nan   42
20170110  608579 nan nan   48
20170110  608579 nan nan   54
20170110  608579 nan nan   58
20170110  608579 nan nan   59
20170110  608579 nan nan   62
20170320  632552 nan nan   8
20170320  632552 nan nan   13
20170320  632552 nan nan   19
20170320  632552 nan nan   20
20170320  632552 nan nan   26
20170320  632552 nan nan   33
20170320  632552 nan nan   40
20170320  632552 nan nan   46
20170320  632552 nan nan   52
20170320  632552 nan nan   57
20170320  632552 nan nan   60
# Streak
20170514  648259 nan nan   02
20170328  634793 nan nan   06
20170328  634793 nan nan   07
20170125  613125 nan nan   59 
20170602  652653 nan nan   62 
### DES Y4 ###
#Airplane (D00569657_r_r2476p01_TN.png)
20160830  569657 nan nan 2
20160830  569657 nan nan 3
20160830  569657 nan nan 6
20160830  569657 nan nan 7
20160830  569657 nan nan 10
20160830  569657 nan nan 11
20160830  569657 nan nan 15
20160830  569657 nan nan 16
20160830  569657 nan nan 21
20160830  569657 nan nan 22
20160830  569657 nan nan 28
20160830  569657 nan nan 34
20160830  569657 nan nan 35
20160830  569657 nan nan 41
20160830  569657 nan nan 42
20160830  569657 nan nan 47
20160830  569657 nan nan 52
20160830  569657 nan nan 53
20160830  569657 nan nan 56
20160830  569657 nan nan 57
20160830  569657 nan nan 60
#Wide geosync streak (D00573016_Y_r2514p01_TN.png)
20160909  573016 nan nan 34
#Wide geosync streak (D00573002_Y_r2514p01_TN.png)
20160909  573002 nan nan 33
#Airplane (D00574595_Y_r2526p01_TN.png)
20160913  574595 nan nan 3
20160913  574595 nan nan 6
20160913  574595 nan nan 7
20160913  574595 nan nan 11
20160913  574595 nan nan 16
20160913  574595 nan nan 22
20160913  574595 nan nan 28
20160913  574595 nan nan 29
20160913  574595 nan nan 35
20160913  574595 nan nan 41
20160913  574595 nan nan 42
20160913  574595 nan nan 47
20160913  574595 nan nan 48
20160913  574595 nan nan 53
20160913  574595 nan nan 57
20160913  574595 nan nan 60
20160913  574595 nan nan 61
#Airplane (D00584429_r_r2675p01_TN.png)
20161020  584429 nan nan 3
20161020  584429 nan nan 7
20161020  584429 nan nan 12
20161020  584429 nan nan 17
20161020  584429 nan nan 18
20161020  584429 nan nan 23
20161020  584429 nan nan 24
20161020  584429 nan nan 30
20161020  584429 nan nan 31
20161020  584429 nan nan 37
20161020  584429 nan nan 38
20161020  584429 nan nan 44
20161020  584429 nan nan 50
#Airplane (D00588914_r_r2705p01_TN.png)
20161102  588914 nan nan 5
20161102  588914 nan nan 6
20161102  588914 nan nan 10
20161102  588914 nan nan 16
20161102  588914 nan nan 22
20161102  588914 nan nan 29
20161102  588914 nan nan 36
20161102  588914 nan nan 43
20161102  588914 nan nan 49
20161102  588914 nan nan 54
20161102  588914 nan nan 55
20161102  588914 nan nan 59
#Airplane (D00595348_z_r2731p01_TN.png)
20161122  595348 nan nan 4
20161122  595348 nan nan 9
20161122  595348 nan nan 14
20161122  595348 nan nan 15
20161122  595348 nan nan 20
20161122  595348 nan nan 21
20161122  595348 nan nan 27
20161122  595348 nan nan 34
20161122  595348 nan nan 35
20161122  595348 nan nan 41
20161122  595348 nan nan 47
20161122  595348 nan nan 48
20161122  595348 nan nan 53
20161122  595348 nan nan 58
20161122  595348 nan nan 61
20161122  595348 nan nan 62
#Airplane (D00597508_i_r2745p01_TN.png)
20161128  597508 nan nan 8
20161128  597508 nan nan 13
20161128  597508 nan nan 14
20161128  597508 nan nan 20
20161128  597508 nan nan 26
20161128  597508 nan nan 33
20161128  597508 nan nan 34
20161128  597508 nan nan 40
20161128  597508 nan nan 46
20161128  597508 nan nan 52
20161128  597508 nan nan 57
20161128  597508 nan nan 60
#Airplane (D00597853_z_r2750p01_TN.png)
20161129  597853 nan nan 25
20161129  597853 nan nan 32
20161129  597853 nan nan 39
20161129  597853 nan nan 45
20161129  597853 nan nan 51
20161129  597853 nan nan 56  
#Meteor (D00604994_g_r2793p01.png)
20161228  604994 nan nan 7
20161228  604994 nan nan 11
20161228  604994 nan nan 16
20161228  604994 nan nan 22
20161228  604994 nan nan 28
20161228  604994 nan nan 35
20161228  604994 nan nan 41
20161228  604994 nan nan 47
20161228  604994 nan nan 52
20161228  604994 nan nan 56
# Airplane (D00582421_z_r3481p01_TN.png)
20161009  582421 nan nan 03
20161009  582421 nan nan 07
20161009  582421 nan nan 12
20161009  582421 nan nan 17
20161009  582421 nan nan 18
20161009  582421 nan nan 24
20161009  582421 nan nan 30
20161009  582421 nan nan 38
20161009  582421 nan nan 44
20161009  582421 nan nan 50
