#date     expnum ccd id ccdnum
20240810  1318301  73 S28   7
20240810  1318301  79 S31   3
20240810  1318302  39 N25  56
20240811  1318437  37 N27  58
20240811  1318437  43 N30  61
20240811  1318450  64 S16  15
20240811  1318450  69 S22  10
20240811  1318545  37 N27  58
20240811  1318545  43 N30  61
20240823  1320638  11  N7  38
20240823  1320638  48  S7  31
20240825  1321663  30 N24  55
20240825  1321664  59  S9  20
20240825  1321664  60  S8  19
20240825  1321664  65 S15  14
20240825  1321664  66 S14  13
20240826  1322029  22  N9  40
20240826  1322029  28 N15  46
20240826  1322029  29 N14  45
20240826  1322111  69 S22  10
20240826  1322111  75 S26   5
20240826  1322111  80 S30   2
20240826  1322112  28 N15  46
20240826  1322112  29 N14  45
20240826  1322112  34 N20  51
20240901  1323646  29 N14  45
20240901  1323647  39 N25  56
20240904  1324695  70 S21   9
20240904  1324695  75 S26   5
20240904  1324715  56 S12  23
20240904  1324715  62 S18  17
20240904  1324740  73 S28   7
20240904  1324740  79 S31   3
20240907  1325602  64 S16  15
20240907  1325602  69 S22  10
20240909  1326433  71 S20   8
20240909  1326433  75 S26   5
20240909  1326433  76 S25   4
20241206  1345841  38 N26  57
20241206  1345841  43 N30  61
20241208  1346465  24 N19  50
20241208  1346465  25 N18  49
20241208  1346465  30 N24  55
20241208  1346488  75 S26   5
20241208  1346488  80 S30   2
20241208  1346489  23  N8  39
20250128  1361758  69 S22  10
20250128  1361758  70 S21   9
20250128  1361758  75 S26   5
20250128  1361759  69 S22  10
20250128  1361759  70 S21   9
20250128  1361759  75 S26   5
20250128  1361760  69 S22  10
20250128  1361760  70 S21   9
20250128  1361760  75 S26   5
20250128  1361761  69 S22  10
20250128  1361761  70 S21   9
20250128  1361761  75 S26   5
20250128  1361763  69 S22  10
20250128  1361763  70 S21   9
20250128  1361764  74 S27   6
20250128  1361764  75 S26   5
20250128  1361764  80 S30   2
20250128  1361766  69 S22  10
20250128  1361766  70 S21   9
20250128  1361767  74 S27   6
20250128  1361767  75 S26   5
20250128  1361767  80 S30   2
20250205  1364021  11  N7  38
20250205  1364021  48  S7  31
20250205  1364022  37 N27  58
20250205  1364022  43 N30  61
20250205  1364050  11  N7  38
20250205  1364050  12  N6  37
20250205  1364050  48  S7  31
20250205  1364051  37 N27  58
20250205  1364051  43 N30  61
20250215  1365611  37 N27  58
20250215  1365611  43 N30  61
20250215  1365639  11  N7  38
20250215  1365639  12  N6  37
20250215  1365639  48  S7  31
20250215  1365640  37 N27  58
20250215  1365640  43 N30  61
20250423  1381260  20 N11  42
20250423  1381260  21 N10  41
20250423  1381260  26 N17  48
20250423  1381260  27 N16  47
20250423  1381260  32 N22  53
